distance,concept1,concept2,#lan,relation
6.642824649810791,sour,fruit,2,HasProperty
6.648306846618652,son,he,2,Synonym
6.651127815246582,sing,dance,12,Antonym,RelatedTo
6.651127815246582,sing,dance,12,Antonym,RelatedTo
6.6558332443237305,wind,weather,4,RelatedTo
6.657845497131348,lift,raise,2,RelatedTo
6.6593708992004395,mouth,lip,119,AtLocation,RelatedTo
6.6593708992004395,mouth,lip,119,AtLocation,RelatedTo
6.66062593460083,come,mother,2,RelatedTo
6.662313461303711,medicine,pill,6,RelatedTo,UsedFor
6.662313461303711,medicine,pill,6,RelatedTo,UsedFor
6.6643218994140625,flock,swarm,20,RelatedTo
6.666811943054199,hole,pit,7,RelatedTo
6.667917728424072,light,dawn,12,RelatedTo
6.669366359710693,son,child,6,RelatedTo
6.669366359710693,son,child,27,RelatedTo
6.669366359710693,son,child,31,RelatedTo
6.67183780670166,smoke,soot,5,RelatedTo
6.67287015914917,garbage,dirt,22,RelatedTo
6.673984527587891,time,meal,4,RelatedTo
6.674230098724365,eat,feed,2,RelatedTo
6.676616191864014,place,nest,2,RelatedTo
6.677011489868164,yard,house,2,HasA,RelatedTo
6.677011489868164,yard,house,2,HasA,RelatedTo
6.679665565490723,foot,shoe,2,AtLocation,LocatedNear,RelatedTo
6.679665565490723,foot,shoe,2,AtLocation,LocatedNear,RelatedTo
6.679665565490723,foot,shoe,2,AtLocation,LocatedNear,RelatedTo
6.681066036224365,move,ride,3,RelatedTo
6.682184219360352,darkness,night,31,RelatedTo
6.683684349060059,shut,door,3,RelatedTo
6.686348915100098,strong,power,2,RelatedTo
6.687192440032959,fear,shiver,2,RelatedTo
6.697545528411865,debt,owe,17,RelatedTo
6.703943252563477,dolphin,fish,3,RelatedTo
6.706807613372803,flower,bud,2,RelatedTo
6.709312915802002,village,house,17,AtLocation
6.711014270782471,flash,lightning,4,RelatedTo
6.7167277336120605,water,river,197,HasA,RelatedTo
6.7167277336120605,water,river,197,HasA,RelatedTo
6.719391345977783,dye,color,24,RelatedTo
6.720313549041748,bright,moon,2,RelatedTo
6.720908164978027,food,fruit,2,RelatedTo
6.7229204177856445,road,line,2,RelatedTo
6.728053092956543,light,moon,2,RelatedTo
6.7289862632751465,voice,call,2,RelatedTo
6.730658054351807,bottom,floor,10,RelatedTo
6.731088161468506,day,light,3,RelatedTo
6.731088161468506,light,day,2,HasProperty,RelatedTo
6.731088161468506,light,day,2,HasProperty,RelatedTo
6.731088161468506,light,day,23,HasProperty,RelatedTo
6.731088161468506,light,day,23,HasProperty,RelatedTo
6.732718467712402,distance,length,3,RelatedTo
6.73395299911499,wave,current,2,RelatedTo
6.734106063842773,coat,dress,3,RelatedTo
6.734547138214111,eyelash,eyebrow,75,RelatedTo
6.736429691314697,between,space,4,RelatedTo
6.738009452819824,wound,cut,2,RelatedTo
6.738753318786621,big,thumb,5,RelatedTo
6.741212368011475,cover,hide,4,RelatedTo
6.741212368011475,cover,hide,12,RelatedTo
6.743766784667969,grain,rye,6,RelatedTo
6.74879789352417,bark,tree,3,RelatedTo
6.749525547027588,dance,song,2,Antonym,RelatedTo
6.749525547027588,dance,song,2,Antonym,RelatedTo
6.75145959854126,cattle,bull,11,RelatedTo
6.75229549407959,nape,neck,81,RelatedTo
6.753188133239746,fog,smoke,26,RelatedTo
6.758004188537598,dark,night,47,RelatedTo
6.759514808654785,swallow,eat,4,Antonym,HasLastSubevent,HasPrerequisite,HasSubevent,RelatedTo
6.759514808654785,swallow,eat,4,Antonym,HasLastSubevent,HasPrerequisite,HasSubevent,RelatedTo
6.759514808654785,swallow,eat,4,Antonym,HasLastSubevent,HasPrerequisite,HasSubevent,RelatedTo
