distance,concept1,concept2,#lan,relation
7.002918720245361,light,morning,2,RelatedTo
7.005586624145508,hole,bury,4,RelatedTo
7.008008003234863,rain,water,35,AtLocation,RelatedTo
7.008008003234863,rain,water,35,AtLocation,RelatedTo
7.0092902183532715,tear,break,14,RelatedTo
7.01342248916626,wool,sheep,8,HasA,RelatedTo
7.01342248916626,wool,sheep,8,HasA,RelatedTo
7.0141119956970215,door,gate,16,RelatedTo
7.015851020812988,dish,pan,4,RelatedTo
7.017188549041748,master,god,10,RelatedTo
7.018958568572998,give,smoke,2,RelatedTo
7.0218353271484375,weigh,measure,59,RelatedTo
7.022830963134766,move,ride,3,RelatedTo
7.022911071777344,cook,burn,19,RelatedTo
7.023240089416504,mouse,rat,31,RelatedTo
7.028352737426758,money,price,7,RelatedTo
7.028369903564453,paddle,oar,151,RelatedTo
7.032862186431885,heavy,load,5,RelatedTo
7.033933162689209,flat,field,3,RelatedTo
7.034402847290039,dawn,morning,26,RelatedTo
7.034702777862549,do,work,15,Antonym,RelatedTo
7.034702777862549,do,work,15,Antonym,RelatedTo
7.034702777862549,work,do,12,RelatedTo
7.037374019622803,eyelash,eyebrow,75,RelatedTo
7.039844989776611,between,space,4,RelatedTo
7.0422844886779785,mouth,nose,2,Antonym,DistinctFrom,RelatedTo
7.0422844886779785,mouth,nose,2,Antonym,DistinctFrom,RelatedTo
7.0422844886779785,mouth,nose,2,Antonym,DistinctFrom,RelatedTo
7.042929649353027,chest,heart,10,AtLocation,RelatedTo
7.042929649353027,chest,heart,10,AtLocation,RelatedTo
7.044772148132324,mouth,tooth,40,AtLocation,PartOf,RelatedTo
7.044772148132324,mouth,tooth,40,AtLocation,PartOf,RelatedTo
7.044772148132324,mouth,tooth,40,AtLocation,PartOf,RelatedTo
7.045627593994141,head,king,12,RelatedTo
7.0458784103393555,leave,do,2,Antonym
7.0478692054748535,female,daughter,6,RelatedTo
7.048045635223389,skin,flesh,5,RelatedTo
7.048793792724609,sky,fog,7,Antonym
7.04885721206665,melt,thaw,54,RelatedTo
7.049304485321045,round,wheel,8,RelatedTo
7.05433988571167,honey,beehive,3,RelatedTo
7.05534553527832,forest,country,3,AtLocation
7.055774211883545,ram,ewe,10,RelatedTo
7.055966854095459,insect,spider,2,RelatedTo
7.060542583465576,nest,beehive,3,RelatedTo
7.062060832977295,small,baby,8,RelatedTo
7.065181255340576,top,above,5,RelatedTo
7.065989017486572,bow,crossbow,5,DerivedFrom
7.066164970397949,open,look,4,RelatedTo
7.0663957595825195,cloud,fog,179,RelatedTo
7.068837642669678,stand,foot,2,RelatedTo
7.070058822631836,sing,dance,12,Antonym,RelatedTo
7.070058822631836,sing,dance,12,Antonym,RelatedTo
7.0711894035339355,debt,owe,17,RelatedTo
7.071743011474609,small,we,2,IsA
