distance,concept1,concept2,#lan,relation
6.318513870239258,corpse,dead,6,RelatedTo
6.322816371917725,outside,courtyard,5,HasProperty
6.328373432159424,hold,touch,6,RelatedTo
6.3317999839782715,pine,fir,33,RelatedTo
6.336305141448975,full,fill,5,RelatedTo
6.339078903198242,walk,run,12,Antonym,DistinctFrom,HasPrerequisite,RelatedTo
6.339078903198242,walk,run,12,Antonym,DistinctFrom,HasPrerequisite,RelatedTo
6.339078903198242,walk,run,12,Antonym,DistinctFrom,HasPrerequisite,RelatedTo
6.339078903198242,walk,run,12,Antonym,DistinctFrom,HasPrerequisite,RelatedTo
6.340586185455322,run,drive,2,RelatedTo
6.344149112701416,walk,follow,3,RelatedTo
6.34944486618042,speak,language,30,RelatedTo
6.3496575355529785,son,he,2,Synonym
6.359820365905762,place,ground,9,RelatedTo
6.368926525115967,keep,hide,3,RelatedTo
6.368926525115967,keep,hide,4,RelatedTo
6.372401714324951,come,mother,2,RelatedTo
6.376445770263672,son,man,17,RelatedTo
6.38047456741333,young,son,3,RelatedTo
6.383234977722168,happy,happiness,2,DerivedFrom
6.387005805969238,speak,speech,42,EtymologicallyRelatedTo,RelatedTo
6.387005805969238,speak,speech,42,EtymologicallyRelatedTo,RelatedTo
6.392924785614014,throat,neck,96,RelatedTo
6.395839214324951,high,above,5,RelatedTo
6.396268844604492,disappear,hide,3,RelatedTo
6.3973798751831055,yellow,green,30,DistinctFrom,HasProperty,RelatedTo
6.3973798751831055,yellow,green,30,DistinctFrom,HasProperty,RelatedTo
6.3973798751831055,yellow,green,30,DistinctFrom,HasProperty,RelatedTo
6.39771842956543,secret,hide,3,RelatedTo
6.400933742523193,see,eye,4,RelatedTo
6.4026336669921875,grow,increase,13,RelatedTo
6.403936862945557,spin,twist,2,RelatedTo
6.41287899017334,shoulder,back,10,RelatedTo
6.4131903648376465,join,split,3,Antonym
6.413928985595703,time,clock,4,RelatedTo
6.414797782897949,far,distance,2,RelatedTo
6.415133476257324,learn,study,111,HasSubevent,MotivatedByGoal
6.415133476257324,learn,study,111,HasSubevent,MotivatedByGoal
6.419287204742432,guest,host,10,RelatedTo
6.421731472015381,granddaughter,child,5,RelatedTo
