#lan,distance,concept1,concept2
236,6.922070026397705,claw,fingernail
173,7.953877925872803,breast,milk
149,6.697864055633545,sit,dwell
124,7.7416911125183105,fur,leather
119,7.855525493621826,burn,roast
119,6.74062442779541,pumpkin,gourd
110,6.827500343322754,pain,sick
108,7.217155933380127,feather,hair
106,6.947508335113525,easy,light
96,8.174062728881836,mosquito,sandfly
92,7.3315558433532715,axe,battle-axe
86,7.641878604888916,master,host
84,7.309560298919678,boat,outrigger
81,7.472679615020752,chieftain,king
73,6.6598381996154785,land,world
72,7.483734130859375,embers,charcoal
69,6.921633720397949,earth,country
67,7.811985492706299,voice,language
67,7.217155933380127,feather,hair
66,7.6090922355651855,weather,air
64,7.880037784576416,cooked,ripe
64,6.98824405670166,swim,sail
64,6.849104881286621,study,teach
63,8.141894340515137,raw,unripe
63,6.780937194824219,beard,chin
60,7.584028720855713,fire,tree
59,6.899750232696533,seize,trap
59,6.865304946899414,dirty,black
55,7.4080681800842285,earth,clay
55,7.314242839813232,voice,word
55,6.6625518798828125,salty,bitter
54,7.9818596839904785,cross,idol
53,7.055664539337158,beautiful,good-looking
53,6.7933220863342285,weave,sew
52,8.427742004394531,child,descendants
52,7.170307159423828,spoil,rot
52,6.677314758300781,disappear,misplace
51,7.347114562988281,burn,light
49,9.218378067016602,leather,bark
49,7.38696813583374,butter,oil
49,7.004482746124268,breast,nipple
48,8.301126480102539,dye,painting
48,8.011252403259277,thread,rope
48,6.829874038696289,flat,smooth
47,8.187152862548828,cease,finish
46,7.283648490905762,cave,hole
46,6.8707685470581055,study,read
43,7.613246917724609,shut,cover
43,7.30753231048584,ripe,red
41,7.741886138916016,mountain,stone
40,8.950867652893066,leather,skin
39,8.415206909179688,fruit,heart
39,7.454239368438721,faeces,guts
38,7.315779685974121,follow,dispel
38,7.279199123382568,book,letter
37,7.759884357452393,grind,press
37,7.262911319732666,cultivate,plough
36,8.17434310913086,egg,testicles
36,6.7054762840271,grow,big
35,7.573667049407959,suck,drink
35,7.194483757019043,condemn,convict
35,7.12415075302124,word,affair
