#lan,distance,concept1,concept2
120,3.817404270172119,and,with
100,4.280773162841797,this,here
96,6.366025447845459,good,beautiful
89,5.623172283172607,clever,wise
89,5.601306438446045,room,house
84,6.4244914054870605,famine,hunger
84,6.0125274658203125,near,beside
83,6.315378665924072,stingy,greedy
80,5.691894054412842,catch,trap
77,5.755690097808838,stretch,pull
75,5.632202625274658,good,correct
75,4.13479471206665,we,our
74,5.329817771911621,tie,pull
73,6.612249374389648,limp,lame
73,5.047497272491455,your,their
71,5.119246482849121,what,who
65,6.611386775970459,remain,dwell
63,6.328245162963867,count,read
63,5.659369945526123,i,my
63,5.631226539611816,ghost,demon
61,6.514624118804932,vulture,eagle
60,6.268566131591797,big,wide
55,6.559835433959961,hut,house
53,6.0498151779174805,bowl,cup
52,2.8381125926971436,granddaughter,niece
51,4.925628662109375,bad,ugly
49,6.620900630950928,count,calculate
49,6.379261016845703,collar,neck
49,4.511806488037109,take,hold
48,6.1012372970581055,count,think
48,4.395319938659668,speak,tell
47,4.7607340812683105,stupid,mad
47,3.6613242626190186,all,many
47,2.5574522018432617,how,what
46,6.1466593742370605,kiss,suck
46,5.788022994995117,clear,light
45,6.54923677444458,kettle,pot
45,5.77924108505249,bitter,sour
44,6.560548782348633,crooked,bend
44,6.252201080322266,bite,eat
44,5.717695236206055,find,meet
44,3.8681721687316895,now,today
42,6.010302543640137,calm,silence
42,4.779078483581543,tomorrow,morning
41,6.230200290679932,dirty,garbage
41,5.569473743438721,grandmother,grandchild
41,5.534730434417725,big,many
41,5.352204322814941,which,who
41,4.608175754547119,afterwards,then
40,6.2153167724609375,count,amount
40,4.87158203125,love,want
39,6.5132155418396,split,chop
38,5.955472469329834,carve,chop
37,6.283607006072998,deceive,swindle
37,5.331911563873291,late,afternoon
36,5.525197505950928,want,intention
36,5.402474403381348,dare,brave
35,4.1401753425598145,they,you
35,4.104288101196289,hear,know
34,6.4007086753845215,carry,lead
34,6.176889896392822,livestock,animal
34,6.008005142211914,call,invite
34,5.876198768615723,thing,affair
34,4.169238567352295,feel,know
34,3.5746612548828125,see,know
33,6.410336494445801,defend,preserve
33,6.263762474060059,wrong,guilty
32,6.159860610961914,stab,pierce
31,5.870631694793701,i,we
31,5.399904727935791,piss,shit
31,4.20791482925415,that,he
31,4.0127272605896,find,see
30,6.558187484741211,split,tear
30,6.297785758972168,jaw,cheek
30,6.15118408203125,walk,leave
29,5.936214923858643,fast,soon
29,5.608604431152344,grandfather,grandchild
29,5.266652584075928,become,happen
29,5.163681507110596,country,world
29,4.588167190551758,howl,shriek
29,3.8563296794891357,cousin,brother
28,6.600046634674072,small,young
28,6.175163745880127,stand,cease
28,5.660484313964844,stove,fireplace
27,5.877365589141846,sit,remain
27,5.776527404785156,push,refuse
27,3.4066264629364014,father-in-law,son-in-law
26,6.480687141418457,weigh,pull
26,6.398393630981445,dig,drop
26,4.55415678024292,accuse,condemn
26,2.8161444664001465,believe,think
25,6.52695894241333,frost,cold
25,6.156673431396484,cease,do
25,5.605478286743164,gather,join
25,5.283680438995361,edge,end
24,6.503715991973877,share,separate
24,6.183356761932373,soul,heart
24,6.134428977966309,measure,count
24,6.009007930755615,say,announce
24,5.96262264251709,twist,bend
24,5.631988525390625,cousin,sibling
24,5.532466411590576,high,long
24,4.9195404052734375,wrong,fault
24,3.4822611808776855,daughter-in-law,son-in-law
23,5.9640326499938965,talk,chat
23,5.688342571258545,spit,vomit
23,5.6203742027282715,see,meet
23,5.11379337310791,hear,feel
23,4.768249034881592,turn,change
23,4.112758159637451,granddaughter,nephew
23,3.4822611808776855,son-in-law,daughter-in-law
22,5.123719692230225,my,our
22,5.038919448852539,try,check
22,4.96207332611084,cooked,cook
22,4.329943656921387,guess,seem
21,6.628730773925781,straight,smooth
21,6.558187484741211,split,tear
21,6.444174766540527,daughter,woman
21,6.268664836883545,sway,swing
21,6.137833595275879,good,healthy
21,6.026194095611572,twist,squeeze
21,6.007686138153076,flat,straight
21,5.96391487121582,ask,pray
21,4.526193618774414,many,enough
21,3.734127998352051,cousin,sister
21,3.4822611808776855,daughter-in-law,son-in-law
20,6.407166957855225,fish,meat
20,5.073385715484619,happy,like
20,4.423000812530518,grandson,niece
19,6.326447010040283,bake,fry
19,6.3133463859558105,wrap,fold
19,6.312651634216309,emerge,visible
19,6.309316158294678,we,eat
19,6.111895561218262,suck,pull
19,6.030531406402588,early,three
19,5.808566570281982,fast,hurry
19,4.057864189147949,only,alone
19,3.697315216064453,uncle,brother
18,6.472960472106934,grind,squeeze
18,6.470493793487549,more,crowd
18,6.348281383514404,order,govern
18,6.336081027984619,late,slow
18,6.318339824676514,seem,visible
18,6.220276355743408,belt,strap
18,6.071455478668213,behind,afterwards
18,5.812509059906006,bury,hide
18,5.391578197479248,yam,taro
18,5.2495198249816895,carry,get
18,4.802855491638184,similar,seem
18,3.622105836868286,give,put
17,6.523473739624023,build,produce
17,5.928070068359375,salty,sour
17,5.823057651519775,borrow,ask
17,5.651962757110596,correct,yes
17,3.774850368499756,want,like
16,6.479048252105713,fortress,tower
16,6.449069499969482,where,whither
16,6.213793754577637,walk,come
16,5.993175506591797,knock,strike
16,5.956413269042969,pull,lead
16,5.947197914123535,copper,iron
16,5.923177242279053,grief,anxiety
16,5.85361909866333,steal,hide
16,5.827564716339111,roll,wrap
16,5.4389519691467285,seem,emerge
16,4.757099151611328,keep,own
16,4.3057756423950195,our,your
16,3.7662465572357178,mother-in-law,daughter-in-law
16,3.7172248363494873,aunt,sister
15,6.6175923347473145,dig,scratch
15,6.591711044311523,build,do
15,6.392056465148926,cold,fresh
15,6.342782020568848,immediately,fast
15,6.219947338104248,rise,grow
15,6.1896162033081055,proud,boast
15,5.993175506591797,knock,strike
15,5.885921001434326,fight,kill
15,5.851961135864258,thief,steal
15,5.803055763244629,whisper,mumble
15,5.681384563446045,clean,good
15,5.670443058013916,many,full
15,5.429820537567139,grief,regret
15,5.403286933898926,head,end
15,4.944641590118408,prisoner,prison
15,4.836413860321045,again,and
15,4.525925636291504,late,after
15,4.363061904907227,wheat,barley
15,3.9037117958068848,want,ask
15,3.8210225105285645,grandmother,mother-in-law
15,3.4822611808776855,son-in-law,daughter-in-law
15,3.4066264629364014,father-in-law,son-in-law
14,6.557175159454346,follow,hunt
14,6.370882987976074,locust,grasshopper
14,6.334872722625732,carry,buy
14,6.02724552154541,centipede,scorpion
14,5.96262264251709,twist,bend
14,5.5165934562683105,edge,top
14,5.386175155639648,dirty,ugly
14,5.206162452697754,scabies,ringworm
14,5.0270185470581055,knock,beat
14,4.7758893966674805,feel,understand
14,4.634212017059326,hear,think
14,4.157151222229004,grandfather,father-in-law
14,4.057032108306885,explain,say
14,4.0321245193481445,far,that
14,3.921509027481079,father-in-law,mother-in-law
14,3.7662465572357178,mother-in-law,daughter-in-law
14,3.7662465572357178,daughter-in-law,mother-in-law
14,3.627868413925171,where,which
14,3.4066264629364014,father-in-law,son-in-law
14,3.1402618885040283,because,if
13,6.52695894241333,frost,cold
13,6.5088067054748535,imitate,try
13,6.405099868774414,person,husband
13,6.300954341888428,towel,rag
13,6.1003618240356445,rise,stand
13,6.0745368003845215,turn,translate
13,6.063228130340576,hold,preserve
13,6.008583068847656,look,old
13,5.929847240447998,weak,tired
13,5.898873805999756,enter,set
13,5.894257068634033,go,ride
13,5.729067802429199,feel,learn
13,5.603755950927734,ask,listen
13,5.430981636047363,last,behind
13,5.373748779296875,top,end
13,5.223201751708984,certain,correct
13,4.975501537322998,whale,shark
13,4.962980270385742,how,which
13,4.3401384353637695,give,do
13,4.17975378036499,daughter-in-law,father-in-law
13,4.13479471206665,we,our
13,4.093860149383545,aunt,mother
12,6.553391456604004,take,trap
12,6.4456095695495605,peel,scrape
12,6.369058132171631,rule,own
12,6.353522300720215,prepare,produce
12,6.313656806945801,do,produce
12,6.310522079467773,shoot,pull
12,6.304070949554443,relatives,brother
12,6.265304088592529,above,peak
12,6.244007110595703,weave,twist
12,6.160313606262207,relatives,sibling
12,6.090970039367676,fowl,rooster
12,6.073402404785156,twist,wrap
12,6.072638988494873,big,old
12,6.060972213745117,mud,swamp
12,6.050207138061523,black,green
12,5.700112342834473,poor,difficult
12,5.343992233276367,mistake,miss
12,5.326183319091797,name,one
12,4.962404251098633,refuse,forbid
12,4.917735576629639,groan,shriek
12,4.9138922691345215,mother-in-law,son-in-law
12,4.913050651550293,blue,black
12,4.858423233032227,call,ask
12,4.836937427520752,get,own
12,4.713057994842529,yellow,white
12,4.157151222229004,father-in-law,grandfather
12,4.132538795471191,how,where
12,3.7662465572357178,mother-in-law,daughter-in-law
12,3.747325897216797,explain,tell
12,3.4066264629364014,son-in-law,father-in-law
11,6.630532741546631,mud,dirty
11,6.563608646392822,destroy,damage
11,6.530841827392578,sky,up
11,6.446013450622559,imitate,learn
11,6.406295299530029,stinking,smell
11,6.3249664306640625,high,big
11,6.068196773529053,cease,end
11,5.858038902282715,vulture,hawk
11,5.836620807647705,pay,sell
11,5.830409049987793,week,seven
11,5.784178256988525,thigh,buttocks
11,5.753018856048584,this,he
11,5.72432804107666,bait,trap
11,5.705432891845703,our,me
11,5.633871078491211,straight,good
11,5.5778608322143555,answer,promise
11,5.416362762451172,have,in
11,5.11379337310791,hear,feel
11,4.9764723777771,give,hear
11,4.948976516723633,my,your
11,4.6841254234313965,now,this
11,4.152888298034668,our,their
