#lan,distance,concept1,concept2
236,6.974036693572998,claw,fingernail
173,7.4660749435424805,breast,milk
149,8.364279747009277,sit,dwell
124,6.788641929626465,fur,leather
120,4.479564666748047,and,with
119,7.885137557983398,pumpkin,gourd
119,7.673326015472412,burn,roast
110,6.902804374694824,pain,sick
108,7.999760627746582,feather,hair
106,6.816299915313721,easy,light
100,4.224839210510254,this,here
96,5.626960754394531,good,beautiful
89,5.94969367980957,clever,wise
89,4.3342790603637695,room,house
86,6.51460075378418,master,host
84,8.625521659851074,boat,outrigger
84,7.949758052825928,famine,hunger
84,5.693122863769531,near,beside
83,4.946511745452881,stingy,greedy
81,8.829453468322754,chieftain,king
80,6.522224426269531,catch,trap
77,6.10957145690918,stretch,pull
75,6.846370220184326,good,correct
75,5.29085636138916,we,our
74,5.968400478363037,tie,pull
73,7.625441551208496,limp,lame
73,6.225124359130859,land,world
73,4.766749382019043,your,their
72,7.074725151062012,embers,charcoal
71,4.784904956817627,what,who
69,6.61018705368042,earth,country
67,7.999760627746582,feather,hair
67,6.79988956451416,voice,language
66,8.598092079162598,weather,air
65,7.701870918273926,remain,dwell
64,7.963879108428955,cooked,ripe
64,7.292607307434082,swim,sail
64,6.799009323120117,study,teach
63,9.330409049987793,raw,unripe
63,6.733830451965332,count,read
63,6.420101165771484,beard,chin
63,5.4669108390808105,i,my
63,5.281306266784668,ghost,demon
61,7.570306301116943,vulture,eagle
60,6.957798004150391,fire,tree
60,6.83016300201416,big,wide
59,8.30954360961914,seize,trap
59,6.719932556152344,dirty,black
55,7.7563557624816895,earth,clay
55,7.638427257537842,hut,house
55,6.88697624206543,voice,word
55,5.93406867980957,salty,bitter
54,7.768202304840088,cross,idol
53,7.878472328186035,beautiful,good-looking
53,7.191001892089844,weave,sew
53,7.096033096313477,bowl,cup
52,7.852433204650879,disappear,misplace
52,7.8422393798828125,child,descendants
52,7.537736892700195,spoil,rot
52,5.474270343780518,granddaughter,niece
51,6.42680025100708,burn,light
51,5.653769016265869,bad,ugly
49,9.105578422546387,leather,bark
49,7.997883319854736,count,calculate
49,7.199245452880859,butter,oil
49,6.85828161239624,breast,nipple
49,6.756515026092529,collar,neck
49,4.973920822143555,take,hold
48,7.96205997467041,dye,painting
48,7.519037246704102,thread,rope
48,6.680727481842041,flat,smooth
48,6.217501640319824,count,think
48,5.462731838226318,speak,tell
47,8.463963508605957,cease,finish
47,4.611632347106934,all,many
47,4.609647274017334,stupid,mad
47,3.245656728744507,how,what
46,6.741889476776123,kiss,suck
46,6.506678581237793,study,read
46,6.2529706954956055,cave,hole
46,6.088531970977783,clear,light
45,6.574820518493652,kettle,pot
45,6.4951653480529785,bitter,sour
44,7.927910804748535,crooked,bend
44,6.667174816131592,bite,eat
44,5.637980937957764,find,meet
44,4.50130033493042,now,today
43,8.008000373840332,ripe,red
43,7.158438682556152,shut,cover
42,7.252953052520752,calm,silence
42,5.721831798553467,tomorrow,morning
41,6.804714679718018,mountain,stone
41,6.325070858001709,dirty,garbage
41,6.011691093444824,grandmother,grandchild
41,5.969327449798584,big,many
41,5.862298965454102,afterwards,then
41,5.505173683166504,which,who
40,7.411342144012451,leather,skin
40,6.142248630523682,count,amount
40,5.508397102355957,love,want
39,8.22494125366211,fruit,heart
39,7.879638671875,faeces,guts
39,6.933584690093994,split,chop
38,7.666287422180176,carve,chop
38,6.47311544418335,book,letter
38,11.031706809997559,follow,dispel
37,8.770648002624512,cultivate,plough
37,7.897414684295654,grind,press
37,7.567965030670166,deceive,swindle
37,5.309786796569824,late,afternoon
36,9.303234100341797,egg,testicles
36,8.152400016784668,want,intention
36,7.34410285949707,dare,brave
36,7.09612512588501,grow,big
35,8.171070098876953,word,affair
35,7.138541221618652,suck,drink
35,7.10339879989624,condemn,convict
35,6.529489994049072,edge,fringe
35,5.021589756011963,they,you
35,4.78518009185791,hear,know
34,7.999760627746582,feather,hair
34,7.7382636070251465,livestock,animal
34,7.47548246383667,flee,retreat
34,7.297234058380127,thing,affair
34,7.122459411621094,mow,cut
34,6.809338569641113,carry,lead
34,6.561772346496582,call,invite
34,6.277583599090576,kill,strike
34,4.653107643127441,feel,know
34,3.8959577083587646,see,know
33,8.55919361114502,eye,die
33,8.354619979858398,leaf,hair
33,8.30940055847168,thou,your
33,7.202357292175293,swamp,moorland
33,7.179534435272217,big,thick
33,6.864274501800537,wrong,guilty
33,6.367728233337402,time,season
33,6.111469268798828,defend,preserve
32,8.871298789978027,master,chieftain
32,8.422405242919922,hear,obey
