#lan,distance,concept1,concept2
120,4.522710800170898,and,with
100,4.47166633605957,this,here
96,6.286255836486816,good,beautiful
84,5.728597164154053,near,beside
77,6.187331199645996,stretch,pull
75,4.624495506286621,we,our
73,6.047036647796631,your,their
71,5.373552322387695,what,who
63,4.994123458862305,i,my
52,3.3368654251098633,granddaughter,niece
51,5.922475814819336,bad,ugly
49,4.573324203491211,take,hold
48,5.021285057067871,speak,tell
47,4.4593682289123535,all,many
47,2.9895594120025635,how,what
44,4.223934173583984,now,today
42,5.773849010467529,tomorrow,morning
41,5.892236709594727,big,many
41,5.693053245544434,which,who
41,4.461716651916504,afterwards,then
40,6.075084686279297,love,want
37,5.333472728729248,late,afternoon
36,6.209948539733887,want,intention
35,5.22951078414917,hear,know
35,4.966466903686523,they,you
34,6.284553050994873,call,invite
34,4.672708034515381,feel,know
34,4.475742340087891,see,know
33,6.306725978851318,defend,preserve
31,5.009328842163086,find,see
31,4.6386590003967285,that,he
31,4.1794562339782715,i,we
29,6.315647602081299,country,world
29,6.293948173522949,become,happen
29,3.8768413066864014,cousin,brother
28,6.000614643096924,stove,fireplace
27,2.6437997817993164,father-in-law,son-in-law
26,3.664252519607544,believe,think
25,6.197425365447998,gather,join
24,6.033692359924316,cheap,easy
24,6.0159173011779785,cousin,sibling
24,4.102315425872803,daughter-in-law,son-in-law
23,6.228933811187744,talk,chat
23,6.217645168304443,hear,feel
23,4.943302154541016,turn,change
23,4.745450019836426,granddaughter,nephew
23,4.102315425872803,son-in-law,daughter-in-law
22,6.129605293273926,cooked,cook
22,5.344811916351318,guess,seem
22,5.139749526977539,my,our
21,5.959157466888428,daughter,woman
21,5.886541366577148,good,healthy
21,5.553247451782227,many,enough
21,4.987834930419922,cousin,sister
21,4.102315425872803,daughter-in-law,son-in-law
20,5.747260093688965,happy,like
20,4.680586814880371,grandson,niece
19,5.86921501159668,early,three
19,4.446499824523926,only,alone
19,3.7981274127960205,uncle,brother
18,6.023237705230713,carry,get
18,5.473257541656494,similar,seem
18,4.021899700164795,give,put
17,5.984156608581543,build,produce
17,4.876140117645264,want,like
16,6.190722942352295,steal,hide
16,6.13296365737915,seem,emerge
16,5.925718307495117,grief,anxiety
16,5.904621601104736,walk,come
16,5.234358787536621,our,your
16,5.164364814758301,aunt,sister
16,5.120334148406982,keep,own
16,3.336104393005371,mother-in-law,daughter-in-law
15,6.312462329864502,prisoner,prison
15,6.274011135101318,many,full
15,6.257867336273193,grief,regret
15,6.24738883972168,rise,grow
15,6.202291011810303,thief,steal
15,5.929489612579346,proud,boast
15,5.817695617675781,grandmother,mother-in-law
15,5.705003261566162,wheat,barley
15,4.986921310424805,late,after
15,4.847809791564941,again,and
15,4.128334045410156,want,ask
15,4.102315425872803,son-in-law,daughter-in-law
15,2.6437997817993164,father-in-law,son-in-law
14,6.2487688064575195,lift,take
14,5.873987674713135,hear,think
14,5.257587909698486,feel,understand
14,5.136995792388916,explain,say
14,5.001492500305176,far,that
14,4.905617713928223,grandfather,father-in-law
14,4.448227882385254,where,which
14,4.3741068840026855,father-in-law,mother-in-law
14,3.593848943710327,because,if
14,3.336104393005371,mother-in-law,daughter-in-law
14,3.336104393005371,daughter-in-law,mother-in-law
14,2.6437997817993164,father-in-law,son-in-law
13,6.28745174407959,enter,set
13,6.236801624298096,feel,learn
13,5.944675922393799,whale,shark
13,5.9304680824279785,turn,translate
13,5.678849697113037,last,behind
13,5.087818145751953,how,which
13,5.022189617156982,give,do
13,4.912074089050293,ask,listen
13,4.749180316925049,aunt,mother
13,4.624495506286621,we,our
13,4.250335693359375,daughter-in-law,father-in-law
12,6.268206596374512,shoot,pull
12,6.253047943115234,blue,black
12,5.9991631507873535,name,one
12,5.998991012573242,groan,shriek
12,5.525547981262207,get,own
12,5.093437194824219,how,where
12,4.998486042022705,mother-in-law,son-in-law
12,4.905617713928223,father-in-law,grandfather
12,4.71556282043457,call,ask
12,4.481906414031982,explain,tell
12,3.336104393005371,mother-in-law,daughter-in-law
12,2.6437997817993164,son-in-law,father-in-law
11,6.262395858764648,pay,sell
11,6.217645168304443,hear,feel
11,6.1079206466674805,imitate,learn
11,5.93540096282959,answer,promise
11,5.817695617675781,grandmother,mother-in-law
11,5.812807083129883,give,hear
11,5.787280082702637,have,in
11,5.376934051513672,week,seven
11,5.285326957702637,this,he
11,4.817747592926025,our,their
11,4.750437259674072,now,soon
11,4.512439250946045,now,this
11,4.440767765045166,bring,give
11,3.9262166023254395,my,your
10,5.842049598693848,bright,yellow
10,5.828828811645508,push,squeeze
10,5.743997573852539,and,no
10,5.712185382843018,where,from
10,5.68327522277832,early,immediately
10,5.590886116027832,hold,get
10,5.55975866317749,father,father-in-law
10,5.40266227722168,short,few
10,5.115579128265381,what,yes
10,4.9191203117370605,get,see
10,4.624495506286621,our,we
10,4.3741068840026855,father-in-law,mother-in-law
10,4.1794562339782715,i,we
9,5.748798847198486,more,again
9,5.711529731750488,thing,some
9,5.606658458709717,hear,see
9,5.333247184753418,explain,speak
9,5.090151786804199,father-in-law,uncle
9,3.5770905017852783,grandmother,mother
9,3.443575620651245,grandmother,aunt
8,6.315572261810303,explain,announce
8,6.29749059677124,grain,harvest
8,6.231307506561279,what,their
8,6.197388648986816,give,i
8,6.064896583557129,season,year
8,6.033010959625244,wife,daughter-in-law
8,6.015322685241699,all,until
8,5.884472846984863,who,person
8,5.690711975097656,say,promise
8,5.65662145614624,fall,go
8,5.55975866317749,father-in-law,father
8,5.498597145080566,true,yes
8,5.341210842132568,elbow,wrist
8,5.308554172515869,know,admit
8,5.1368608474731445,swear,oath
8,5.120311737060547,cattle,sheep
8,5.047026634216309,year,six
8,4.998486042022705,mother-in-law,son-in-law
8,4.3741068840026855,mother-in-law,father-in-law
7,6.314365863800049,carry,send
7,6.311624050140381,midday,day
7,6.289405822753906,break,split
