#languages that colexify these two concepts,concept1,concept2
349,LEG,FOOT
348,TREE,WOOD
324,MOON,MONTH
294,HAND,ARM
289,WIFE,WOMAN
288,WALK,GO
268,KNIFE,KNIFE (FOR EATING)
261,SON-IN-LAW (OF MAN),SON-IN-LAW (OF WOMAN)
252,MEAT,FLESH
236,SKIN,LEATHER
236,CLAW,FINGERNAIL
234,DAUGHTER-IN-LAW (OF MAN),DAUGHTER-IN-LAW (OF WOMAN)
209,SKIN,BARK
205,COUNTRY,LAND
199,PERSON,MAN
197,WATER,RIVER
196,SPEAK,SAY
195,BLUE,GREEN
191,LIE DOWN,SLEEP
189,GIRL,DAUGHTER
187,FATHER-IN-LAW (OF MAN),FATHER-IN-LAW (OF WOMAN)
185,HUSBAND,MAN
184,HOW MUCH,HOW MANY PIECES
181,STRAIGHT,CORRECT (RIGHT)
181,MOTHER-IN-LAW (OF MAN),MOTHER-IN-LAW (OF WOMAN)
181,CANOE,BOAT
179,CLOUD,FOG
175,LANGUAGE,TONGUE
173,BREAST,MILK
168,HIGH,TALL
160,SOUND OR NOISE,VOICE
159,SON,BOY
159,EARTH (SOIL),LAND
155,PLATE,DISH
153,BATHE,WASH
151,PADDLE,OAR
151,AUNT,MOTHER'S SISTER
150,UNCLE,MOTHER'S BROTHER
150,UNCLE,FATHER'S BROTHER
150,SEIZE,CATCH
149,SIT,"DWELL (LIVE, RESIDE)"
148,LANGUAGE,WORD
146,KEEP,PRESERVE
146,FEMALE (OF PERSON),FEMALE (OF ANIMAL)
145,WE,WE (INCLUSIVE)
145,MALE (OF PERSON),MALE (OF ANIMAL)
143,MONEY,SILVER
142,AUNT,FATHER'S SISTER
140,SEIZE,HOLD
133,TOE,FINGER
133,ROAD,PATH
133,LIFT,PICK UP
133,GRANDSON,GRANDDAUGHTER
132,MOUNTAIN,HILL
132,GO UP (ASCEND),CLIMB
131,SHARE,DIVIDE
128,FIREWOOD,WOOD
127,CUT,CHOP
125,EAT,DRINK
124,FUR,LEATHER
124,FOOD,MEAL
123,SUN,DAY (NOT NIGHT)
123,SHOVEL,SPADE
122,WEAVE,BRAID (VERB) OR WEAVE (BASKET)
122,POINTED,SHARP
121,SEE,LOOK
121,LIGHTNING,BOLT (OF LIGHTNING)
121,DENY,REFUSE
120,STOVE,OVEN
120,GRANDMOTHER,GRANDFATHER
120,END (OF TIME),END (OF SPACE)
120,AND,WITH
119,PUMPKIN,GOURD
119,MOUTH,LIP
119,HOUR,CLOCK
119,BURN,ROAST (SOMETHING)
118,BABY,CHILD (YOUNG HUMAN)
117,SKY,HEAVEN
117,RICE PLANT,RICE
116,WE (INCLUSIVE),WE (EXCLUSIVE)
115,SMALL,FEW
115,HOLD,CATCH
114,THINK (REFLECT),THINK (BELIEVE)
114,HAIR (HEAD),HAIR (BODY)
113,SKIN,FUR
113,LONG,TALL
112,YOUNGER BROTHER,YOUNGER SISTER
112,IN FRONT OF,BEFORE
111,LEARN,STUDY
110,PAIN,SICK
109,FEMALE (OF PERSON),WOMAN
108,HUSBAND,WIFE
