euclidean distance,concept1,concept2
1.2694976329803467,three,four
1.4291441440582275,five,six
1.6027004718780518,two,three
1.7365354299545288,four,five
1.7828396558761597,eight,nine
1.9125372171401978,four,eight
1.9491721391677856,north,south
2.058037757873535,wednesday,thursday
2.0648550987243652,east,west
2.121389150619507,tuesday,thursday
2.196131467819214,two,four
2.2169604301452637,tuesday,wednesday
2.2245371341705322,east,south
2.3417890071868896,second,third
2.3846595287323,what,why
2.450050115585327,often,sometimes
2.4541189670562744,monday,thursday
2.457516670227051,west,north
2.521836996078491,know,think
2.521836996078491,know,think
2.521836996078491,know,think
2.5352165699005127,sixteen,seventeen
2.5430781841278076,guess,think
2.5430781841278076,guess,think
2.5574522018432617,how,what
2.5892412662506104,eighty,ninety
2.626749277114868,sixty,seventy
2.6589250564575195,think,thought
2.6667122840881348,before,after
2.6714954376220703,monday,tuesday
2.70920991897583,want,need
2.7255170345306396,july,august
2.7663819789886475,few,some
2.8161444664001465,believe,think
2.8161444664001465,believe,think
2.833881378173828,monday,wednesday
2.8381125926971436,granddaughter,niece
2.841430187225342,that,it
2.9157602787017822,thirty,eighty
2.9217875003814697,how,why
2.948040246963501,say,think
2.948040246963501,say,think
2.9712624549865723,grandson,nephew
2.9712624549865723,nephew,grandson
2.98512601852417,get,want
2.9920434951782227,because,when
3.011685848236084,always,never
3.0473415851593018,understand,know
3.054561138153076,understand,explain
3.056690216064453,thing,what
3.0598671436309814,believe,know
3.114891529083252,tell,ask
3.115149974822998,husband,wife
3.1402618885040283,because,if
3.1484227180480957,know,guess
3.151573657989502,grandmother,aunt
3.1554112434387207,stepson,stepdaughter
3.1570234298706055,that,there
3.1576931476593018,where,there
3.2016797065734863,only,one
3.2026138305664062,because,why
3.205008029937744,one,that
3.2110838890075684,if,when
3.234592914581299,they,we
3.2412502765655518,never,not
3.2575457096099854,afternoon,evening
3.2588887214660645,know,remember
3.286512613296509,say,tell
3.3136439323425293,not,nothing
3.3247246742248535,grandson,granddaughter
3.3507578372955322,far,there
3.3562397956848145,doubt,think
3.3681302070617676,january,april
3.371777296066284,believe,understand
3.375535488128662,again,before
3.3922135829925537,when,where
3.395251750946045,good,very
3.4066264629364014,father-in-law,son-in-law
3.4066264629364014,father-in-law,son-in-law
3.4066264629364014,father-in-law,son-in-law
3.4066264629364014,son-in-law,father-in-law
3.406987428665161,lunch,dinner
3.408311128616333,now,soon
3.421553611755371,again,back
3.425523042678833,one,two
3.4391942024230957,they,that
3.443647623062134,grandfather,father
3.4457645416259766,because,what
3.4520034790039062,begin,beginning
3.4583730697631836,guess,say
3.479503870010376,gold,silver
3.4802229404449463,give,want
3.4806339740753174,what,say
3.4822611808776855,daughter-in-law,son-in-law
3.4822611808776855,daughter-in-law,son-in-law
3.4822611808776855,son-in-law,daughter-in-law
3.4822611808776855,son-in-law,daughter-in-law
3.488759756088257,bring,give
3.4913346767425537,six,ten
3.496217727661133,bracelet,necklace
3.5081262588500977,plaintiff,defendant
3.510908365249634,want,do
3.5131781101226807,get,give
3.5200722217559814,remain,remains
3.521378755569458,begin,start
3.5258748531341553,first,one
3.532344102859497,time,when
3.5515079498291016,want,think
3.5515079498291016,want,think
3.553891181945801,white,black
3.5548555850982666,remember,think
3.5548555850982666,remember,think
3.5548555850982666,remember,think
3.5570921897888184,take,give
3.558295249938965,very,much
3.5680770874023438,grandmother,mother
3.5721988677978516,take,get
3.5746612548828125,see,know
3.574906587600708,similar,same
3.5908429622650146,have,be
3.5924224853515625,some,other
3.608228921890259,different,other
3.611112117767334,twelve,seventeen
3.615618944168091,two,seven
3.6206092834472656,wrong,mistake
3.622105836868286,give,put
3.627868413925171,where,which
3.6416149139404297,go,take
3.645714282989502,nephew,cousin
3.654538631439209,guess,remember
3.6598339080810547,ankle,knee
3.6613242626190186,all,many
3.6631617546081543,nephew,niece
3.6679651737213135,nine,ten
3.6688952445983887,nephew,uncle
3.6693363189697266,aunt,niece
3.6726036071777344,this,it
3.6756691932678223,go,come
3.676626682281494,mind,thought
3.680457830429077,get,know
3.685398578643799,grandfather,uncle
3.687110424041748,bring,put
3.6927168369293213,want,if
3.692924976348877,what,we
3.692924976348877,what,we
3.697315216064453,uncle,brother
3.7014639377593994,want,say
3.705343008041382,push,pull
3.7054619789123535,daughter,niece
3.7055611610412598,blue,purple
3.7087795734405518,understand,think
3.7087795734405518,understand,think
3.709354877471924,burn,burning
3.709354877471924,burning,burn
3.7172248363494873,aunt,sister
3.7263100147247314,believe,admit
3.7264606952667236,we,you
3.7264606952667236,we,you
3.7264606952667236,we,you
3.7264606952667236,you,we
3.72723126411438,some,one
3.7307512760162354,what,when
3.734127998352051,cousin,sister
3.7356479167938232,see,look
3.741640329360962,what,where
3.742438793182373,now,again
3.7460155487060547,always,often
3.747325897216797,explain,tell
3.749335527420044,think,idea
3.749335527420044,think,idea
3.7557475566864014,guess,admit
3.757075786590576,what,one
3.764732599258423,believe,guess
3.7662465572357178,daughter-in-law,mother-in-law
3.7662465572357178,mother-in-law,daughter-in-law
3.7662465572357178,mother-in-law,daughter-in-law
3.7662465572357178,mother-in-law,daughter-in-law
3.7706642150878906,bring,take
3.771367311477661,wife,daughter
3.7714145183563232,we,that
3.7714145183563232,we,that
3.7726662158966064,go,see
3.774850368499756,want,like
3.7789978981018066,night,evening
3.7857446670532227,say,they
3.786252498626709,red,yellow
3.788320779800415,hear,listen
3.789579153060913,ten,hundred
3.7941949367523193,take,want
3.810349941253662,you,your
3.810349941253662,you,your
3.8111822605133057,niece,cousin
3.8112902641296387,father,mother
3.816723585128784,want,try
3.817404270172119,and,with
3.8210225105285645,grandmother,mother-in-law
3.8210225105285645,grandmother,mother-in-law
3.8210225105285645,grandmother,mother-in-law
3.8217368125915527,livestock,cattle
3.8230984210968018,come,bring
3.8259708881378174,mother,sister
3.8298051357269287,father,uncle
3.8340349197387695,few,one
3.8378658294677734,see,we
