concept 1,concept 2,language weight,similarity
leg,foot,349,0.37373447640209584
tree,wood,348,0.2791056585228293
moon,month,324,0.12740383428263677
hand,arm,294,0.4700164634596207
wife,woman,289,0.43146689996257453
walk,go,288,0.39282968367556165
meat,flesh,252,0.4428952255113415
skin,leather,236,0.25368054330936324
skin,bark,209,0.20830582586619703
country,land,205,0.35263514707885485
person,man,199,0.3473123127873282
water,river,197,0.3047232365074889
speak,say,196,0.4531915739543517
blue,green,195,0.5497930177331244
girl,daughter,189,0.3894216089095659
husband,man,185,0.26251124281123317
straight,correct,181,0.08741477030104657
canoe,boat,181,0.6055478248880647
cloud,fog,179,0.5044247515605467
language,tongue,175,0.34357022751403754
breast,milk,173,0.1703843464064446
high,tall,168,0.215277296020793
son,boy,159,0.35077293905608165
earth,land,159,0.2192948106605579
plate,dish,155,0.3172441828936686
bathe,wash,153,0.38649692569741334
paddle,oar,151,0.474143567228129
seize,catch,150,0.335457717555089
sit,dwell,149,0.2424555517987406
language,word,148,0.41829587606159413
keep,preserve,146,0.3679351020110517
money,silver,143,0.34209088465927934
seize,hold,140,0.28833898569509914
toe,finger,133,0.4387185588264887
road,path,133,0.40773070691326285
grandson,granddaughter,133,0.5515994726949904
mountain,hill,132,0.5849014672915789
share,divide,131,0.17329873591159653
firewood,wood,128,0.275418123298792
cut,chop,127,0.2697348374652918
eat,drink,125,0.6100392944277334
fur,leather,124,0.20966464068765006
food,meal,124,0.3569919603323798
sun,day,123,0.16185375711048394
shovel,spade,123,0.41521129166535153
pointed,sharp,122,0.27611338290059434
deny,refuse,121,0.25947322445795334
see,look,121,0.3848080182215609
lightning,bolt,121,0.28857485202178407
stove,oven,120,0.46531430077407115
and,with,120,0.09867520385833775
grandmother,grandfather,120,0.507383030584085
hour,clock,119,0.3173007001876533
pumpkin,gourd,119,0.23771502703087413
burn,roast,119,0.22958671835284616
mouth,lip,119,0.3287451095300638
baby,child,118,0.585517743848199
sky,heaven,117,0.3991192721717663
small,few,115,0.3151058982435966
hold,catch,115,0.28687497195981354
long,tall,113,0.22613903006625374
skin,fur,113,0.24081269983086243
learn,study,111,0.2150337644648763
pain,sick,110,0.18774948738482813
female,woman,109,0.2888384132527134
husband,wife,108,0.7308631644084519
feather,hair,108,0.3281258581662983
smell,sniff,107,0.28558980677700946
hear,listen,107,0.5785250427032358
easy,light,106,0.08638270728725274
male,man,104,0.08122505229510155
sky,cloud,102,0.45758533511115207
sun,day,101,0.16185375711048394
sea,ocean,101,0.6001096901384824
this,here,100,0.20330638552700242
have,own,100,0.10696892156514569
burn,burning,98,0.4890571398199583
do,make,97,0.2966712015273343
understand,know,96,0.5514252881031232
throat,neck,96,0.46600480039520864
good,beautiful,96,0.19856749951056477
dark,black,95,0.5012513337761314
take,get,94,0.32469554398514283
dust,ash,94,0.18497897605108754
tomorrow,yesterday,93,0.3378817546916935
fat,oil,93,0.2584206507424467
sheep,ewe,91,0.38721796922546536
belly,stomach,90,0.33439387481126165
chest,breast,90,0.3604300036002167
ox,bull,90,0.31706180990395894
room,house,89,0.38304971982091396
clever,wise,89,0.33559828922659457
age,year,88,0.2695017488635411
shake,shiver,88,0.31001181010606715
cloth,clothes,87,0.27161894237063056
master,host,86,0.07224370139964456
float,swim,86,0.4287499165980459
go,leave,86,0.3769307401626154
green,unripe,85,0.2246746031549178
sister,brother,84,0.6787916685397358
come,arrive,84,0.2648756118488795
near,beside,84,0.2920205463982807
plain,field,84,0.06672828733092408
famine,hunger,84,0.42416812016797856
bright,light,83,0.35863363322059405
comb,brush,83,0.4324411836356445
nephew,niece,82,0.5670521057809321
learn,teach,81,0.523477144288523
nape,neck,81,0.5132961029528558
chieftain,king,81,0.17220355194613873
thigh,hip,81,0.5698849491530418
rub,wipe,80,0.2577751984653968
hot,warm,80,0.5410754464264549
catch,trap,80,0.3332635451783779
run,flee,80,0.16364121130996903
press,squeeze,80,0.08026314708790135
hole,bore,79,0.2472572829408408
dye,paint,77,0.19587440382703938
stretch,pull,77,0.17905358258524082
behind,after,77,0.014348556191865779
shout,call,77,0.179625067622183
soul,ghost,76,0.2169386595855156
good,correct,75,0.08944215496906104
we,our,75,0.3105273985354887
only,one,75,0.21731750656125984
tie,pull,74,0.24054205680794563
limp,lame,73,0.1123439078482161
your,their,73,0.2268960250017209
land,world,73,0.09513864363241552
this,that,73,0.33815216740273524
fur,hair,73,0.23831676868811724
breast,udder,72,0.2102008718871127
embers,charcoal,72,0.32996895692474726
what,who,71,0.10524004130633449
feather,wing,71,0.23627138986831403
rise,climb,70,0.2481663068628482
house,home,70,0.2724506674908705
earth,country,69,0.11233955909671527
earth,ground,69,0.24835753491600904
pot,pan,69,0.37139591984433257
earth,world,69,0.30809720760884435
paint,color,68,0.21089082850453372
child,boy,68,0.5861538874167925
long,far,68,0.13007824827065095
voice,language,67,0.1954326242078744
feather,hair,67,0.3281258581662983
fire,firewood,67,0.14980336981697392
jaw,chin,67,0.36033193148899356
seed,grain,67,0.41893711304969733
