concept 1,concept 2,language weight,similarity
plaintiff,defendant,2,0.8610562417741996
july,august,2,0.839587550974131
january,april,2,0.8281549016130793
monday,tuesday,2,0.8195269315272329
sixty,seventy,2,0.7980733541335083
north,south,17,0.7780928889794348
gold,silver,4,0.7721183679919376
eight,nine,2,0.7662819314030138
east,west,2,0.7589664271701567
tuesday,wednesday,2,0.7544637914365933
three,four,5,0.7445909951065204
afternoon,evening,16,0.7441405529131926
five,six,3,0.7436325690786925
tuesday,thursday,2,0.7436201859514894
wednesday,thursday,4,0.7401150133062762
monday,wednesday,2,0.7379421605315917
eighty,ninety,3,0.7351751800459969
husband,wife,108,0.7308631644084519
monday,thursday,2,0.7261300454849808
banana,plantain,4,0.7147905502886109
sixteen,seventeen,9,0.7136805754537172
cabbage,cauliflower,16,0.711583714556987
west,north,3,0.703848715850606
summer,autumn,6,0.6998072871680707
four,five,11,0.6940754743213107
girl,boy,27,0.6926520217761385
winter,summer,4,0.6913044071648131
town,village,64,0.6871291166707462
four,eight,3,0.6867180634726376
wife,daughter,3,0.6843307741639207
butter,cheese,3,0.6810076100121583
sister,brother,84,0.6787916685397358
east,south,2,0.6752632547501305
two,three,3,0.6748012513075912
buy,sell,25,0.6745586439239069
hither,thither,2,0.673344040108012
thirty,eighty,2,0.6730190313478555
breakfast,dinner,8,0.6649399931269001
iron,steel,55,0.6633525900766415
barley,oat,9,0.6614770988468327
son,daughter,37,0.6600231117034111
second,third,3,0.6598221238286126
six,ten,2,0.6580827708717663
nine,ten,2,0.6565810701385582
river,creek,16,0.6476168004719786
breakfast,lunch,11,0.6441500995411839
finger,thumb,4,0.6352245390982657
father,mother,7,0.6320720970634841
door,gate,16,0.6299050412919235
sun,moon,38,0.6294304676749767
mother,sister,3,0.6281669685047152
seven,seventy,3,0.6281377615689882
wheat,barley,15,0.6278448502289956
boat,ship,47,0.6217457316743333
lunch,dinner,20,0.6175770346029059
eat,drink,125,0.6100392944277334
cattle,sheep,8,0.6087210866411292
winter,autumn,10,0.6079743396014173
liver,kidney,2,0.6069743712552103
seven,hundred,2,0.6066417757690923
canoe,boat,181,0.6055478248880647
intestines,stomach,16,0.6038450226699404
yolk,egg,4,0.6015741737565928
sea,ocean,101,0.6001096901384824
door,window,8,0.5994016433433881
wool,cotton,3,0.5977213589681843
daughter,niece,16,0.5968661848053014
candle,lamp,2,0.5963538953306169
night,evening,54,0.5944834290155407
niece,cousin,10,0.5931846262362769
bake,oven,8,0.5920246984407337
girl,woman,12,0.5891639402935079
mainland,coast,2,0.5877518743686229
child,boy,10,0.5861538874167925
child,boy,9,0.5861538874167925
child,boy,68,0.5861538874167925
baby,child,9,0.585517743848199
baby,child,118,0.585517743848199
baby,child,22,0.585517743848199
mountain,hill,132,0.5849014672915789
ankle,knee,3,0.5847458531118224
nephew,uncle,5,0.5839265582776506
cousin,sister,21,0.5827461610538974
hunger,thirst,4,0.582057970658683
white,black,3,0.5807474928332063
morning,night,5,0.5801867234019229
hear,listen,107,0.5785250427032358
shirt,coat,11,0.5780362596775653
two,four,2,0.5779506972819473
liver,spleen,3,0.5772968436954807
pine,fir,33,0.5770452876416143
wine,beer,14,0.5759956920335603
copper,iron,16,0.5753922551910632
uncle,brother,19,0.5736904945621393
night,afternoon,3,0.573608339199465
river,lake,15,0.5712127010474322
vulva,vagina,14,0.5705384219777928
girl,child,19,0.56995204830732
thigh,hip,81,0.5698849491530418
shoulder,arm,9,0.5698497962223443
aunt,niece,3,0.5697234092635879
king,queen,15,0.5673317889292533
nephew,niece,82,0.5670521057809321
sky,blue,9,0.5657590204562579
leg,thigh,52,0.5646269311734091
grandmother,aunt,9,0.5641151874877226
boot,shoe,62,0.5638959060773648
often,sometimes,3,0.563782187333792
bowl,cup,53,0.5631487512990073
defend,protect,26,0.5628533985888422
elbow,knee,47,0.5627765326152557
adobe,brick,15,0.5627617170198156
pine,oak,2,0.5594038006544436
cry,shout,4,0.558665101735306
wheat,oat,2,0.557179922093704
tree,mango,4,0.5571405797605727
beech,oak,4,0.5564327110370123
breath,breathe,5,0.5564314487295229
barley,rye,6,0.554299205009299
voice,tone,24,0.5523842024866996
blue,black,12,0.5519162922801825
valley,river,4,0.5518398975463944
grandson,granddaughter,133,0.5515994726949904
understand,know,96,0.5514252881031232
snow,ice,36,0.5513626985162866
red,white,4,0.5512093200912557
say,think,2,0.5510158226160288
say,think,5,0.5510158226160288
blue,green,195,0.5497930177331244
grandfather,uncle,5,0.5494121227348784
murder,crime,3,0.5489522393547446
twelve,seventeen,2,0.5473495089533521
ten,hundred,2,0.5454242394793657
pray,bless,2,0.5451246145449319
grain,wheat,14,0.5447142576719788
red,yellow,21,0.544710930674613
yellow,blue,6,0.5445896354536229
ask,beg,2,0.5440936925802476
grandson,nephew,58,0.5428351518115903
nephew,grandson,2,0.5428351518115903
husband,father,9,0.5424312116036389
hot,warm,80,0.5410754464264549
aunt,uncle,21,0.5401003733226085
red,black,2,0.5398404001286173
loud,shout,3,0.5384937911175762
beard,hair,3,0.5384407040390992
beard,hair,5,0.5384407040390992
cotton,silk,2,0.5374992854462478
island,mainland,2,0.5374177751858267
food,meat,6,0.5360050838721337
swear,oath,8,0.5354366526032434
uncle,cousin,5,0.5354198410877458
hill,summit,2,0.5347663462629482
steep,slope,9,0.5335605040628197
meal,breakfast,4,0.5333047572801509
he,she,61,0.5318375222147019
seven,seventeen,2,0.531756006340397
tell,ask,2,0.5314275899785963
mule,horse,6,0.5312358806571225
rye,oat,5,0.5311357968375832
elbow,wrist,8,0.5302749757764869
aunt,sister,16,0.5299385156113039
mouse,rat,31,0.5288754718911313
